TempField;ValidVotes;AffiliationIdentifier/RegisteredName;PartijTK;%Key_ReportingUnitVotes_8F8DEF71A3FD2A41;Gemeente;ReportingUnitIdentifier;ReportingUnitIdentifier/Id
;28;Democraten 66 (D66);D66;14838;AaenHunze;Stembureau Openbare Basisschool Anloo (postcode: 9467 PH);1680::SB22
;36;GROENLINKS;GroenLinks;14838;AaenHunze;Stembureau Openbare Basisschool Anloo (postcode: 9467 PH);1680::SB22
;102;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;14838;AaenHunze;Stembureau Openbare Basisschool Anloo (postcode: 9467 PH);1680::SB22
;37;Partij van de Arbeid (P.v.d.A.);PvdA;14838;AaenHunze;Stembureau Openbare Basisschool Anloo (postcode: 9467 PH);1680::SB22
;29;VVD;VVD;14838;AaenHunze;Stembureau Openbare Basisschool Anloo (postcode: 9467 PH);1680::SB22
;14;CDA;CDA;14838;AaenHunze;Stembureau Openbare Basisschool Anloo (postcode: 9467 PH);1680::SB22
;346;Aalsmeerse Belangen;Lokaal;685;Aalsmeer;Stembureau Zorgcentrum Aelsmeer;0358::SB1
;367;CDA;CDA;685;Aalsmeer;Stembureau Zorgcentrum Aelsmeer;0358::SB1
;345;VVD;VVD;685;Aalsmeer;Stembureau Zorgcentrum Aelsmeer;0358::SB1
;174;PACT Aalsmeer;Lokaal;685;Aalsmeer;Stembureau Zorgcentrum Aelsmeer;0358::SB1
;57;Het Aalsmeers Collectief;Lokaal;685;Aalsmeer;Stembureau Zorgcentrum Aelsmeer;0358::SB1
;57;;;685;Aalsmeer;Stembureau Zorgcentrum Aelsmeer;0358::SB1
;33;Het Aalsmeers Collectief;Lokaal;1338;Aalsmeer;Stembureau Solidoe de Dolfijn;0358::SB2
;260;CDA;CDA;1338;Aalsmeer;Stembureau Solidoe de Dolfijn;0358::SB2
;298;Aalsmeerse Belangen;Lokaal;1338;Aalsmeer;Stembureau Solidoe de Dolfijn;0358::SB2
;350;VVD;VVD;1338;Aalsmeer;Stembureau Solidoe de Dolfijn;0358::SB2
;164;PACT Aalsmeer;Lokaal;1338;Aalsmeer;Stembureau Solidoe de Dolfijn;0358::SB2
;43;;;1338;Aalsmeer;Stembureau Solidoe de Dolfijn;0358::SB2
;117;PACT Aalsmeer;Lokaal;1991;Aalsmeer;Stembureau De Meerlanden;0358::SB3
;27;;;1991;Aalsmeer;Stembureau De Meerlanden;0358::SB3
;188;CDA;CDA;1991;Aalsmeer;Stembureau De Meerlanden;0358::SB3
;178;Aalsmeerse Belangen;Lokaal;1991;Aalsmeer;Stembureau De Meerlanden;0358::SB3
;105;VVD;VVD;1991;Aalsmeer;Stembureau De Meerlanden;0358::SB3
;17;Het Aalsmeers Collectief;Lokaal;1991;Aalsmeer;Stembureau De Meerlanden;0358::SB3
;56;Het Aalsmeers Collectief;Lokaal;2644;Aalsmeer;Stembureau Wijkcentrum t Baken;0358::SB4
;254;CDA;CDA;2644;Aalsmeer;Stembureau Wijkcentrum t Baken;0358::SB4
;229;Aalsmeerse Belangen;Lokaal;2644;Aalsmeer;Stembureau Wijkcentrum t Baken;0358::SB4
;112;VVD;VVD;2644;Aalsmeer;Stembureau Wijkcentrum t Baken;0358::SB4
;155;PACT Aalsmeer;Lokaal;2644;Aalsmeer;Stembureau Wijkcentrum t Baken;0358::SB4
;41;;;2644;Aalsmeer;Stembureau Wijkcentrum t Baken;0358::SB4
;47;Het Aalsmeers Collectief;Lokaal;3297;Aalsmeer;Stembureau Seringenhorst;0358::SB5
;34;;;3297;Aalsmeer;Stembureau Seringenhorst;0358::SB5
;89;PACT Aalsmeer;Lokaal;3297;Aalsmeer;Stembureau Seringenhorst;0358::SB5
;157;CDA;CDA;3297;Aalsmeer;Stembureau Seringenhorst;0358::SB5
;141;Aalsmeerse Belangen;Lokaal;3297;Aalsmeer;Stembureau Seringenhorst;0358::SB5
;118;VVD;VVD;3297;Aalsmeer;Stembureau Seringenhorst;0358::SB5
;46;Het Aalsmeers Collectief;Lokaal;3950;Aalsmeer;Stembureau Ned Herv Wijkcentrum t Anker;0358::SB6
;211;CDA;CDA;3950;Aalsmeer;Stembureau Ned Herv Wijkcentrum t Anker;0358::SB6
;149;Aalsmeerse Belangen;Lokaal;3950;Aalsmeer;Stembureau Ned Herv Wijkcentrum t Anker;0358::SB6
;218;VVD;VVD;3950;Aalsmeer;Stembureau Ned Herv Wijkcentrum t Anker;0358::SB6
;85;PACT Aalsmeer;Lokaal;3950;Aalsmeer;Stembureau Ned Herv Wijkcentrum t Anker;0358::SB6
;21;;;3950;Aalsmeer;Stembureau Ned Herv Wijkcentrum t Anker;0358::SB6
;28;;;4603;Aalsmeer;Stembureau Gebouw Mikado;0358::SB7
;243;CDA;CDA;4603;Aalsmeer;Stembureau Gebouw Mikado;0358::SB7
;226;Aalsmeerse Belangen;Lokaal;4603;Aalsmeer;Stembureau Gebouw Mikado;0358::SB7
;389;VVD;VVD;4603;Aalsmeer;Stembureau Gebouw Mikado;0358::SB7
;252;PACT Aalsmeer;Lokaal;4603;Aalsmeer;Stembureau Gebouw Mikado;0358::SB7
;59;Het Aalsmeers Collectief;Lokaal;4603;Aalsmeer;Stembureau Gebouw Mikado;0358::SB7
;36;Het Aalsmeers Collectief;Lokaal;5256;Aalsmeer;Stembureau Buurthuis Hornmeer;0358::SB8
;292;CDA;CDA;5256;Aalsmeer;Stembureau Buurthuis Hornmeer;0358::SB8
;285;Aalsmeerse Belangen;Lokaal;5256;Aalsmeer;Stembureau Buurthuis Hornmeer;0358::SB8
;186;VVD;VVD;5256;Aalsmeer;Stembureau Buurthuis Hornmeer;0358::SB8
;199;PACT Aalsmeer;Lokaal;5256;Aalsmeer;Stembureau Buurthuis Hornmeer;0358::SB8
;35;;;5256;Aalsmeer;Stembureau Buurthuis Hornmeer;0358::SB8
;227;Aalsmeerse Belangen;Lokaal;5909;Aalsmeer;Stembureau p.c.b.s. De Graankorrel;0358::SB9
;48;Het Aalsmeers Collectief;Lokaal;5909;Aalsmeer;Stembureau p.c.b.s. De Graankorrel;0358::SB9
;164;VVD;VVD;5909;Aalsmeer;Stembureau p.c.b.s. De Graankorrel;0358::SB9
;17;;;5909;Aalsmeer;Stembureau p.c.b.s. De Graankorrel;0358::SB9
;353;CDA;CDA;5909;Aalsmeer;Stembureau p.c.b.s. De Graankorrel;0358::SB9
;152;PACT Aalsmeer;Lokaal;5909;Aalsmeer;Stembureau p.c.b.s. De Graankorrel;0358::SB9
;42;Het Aalsmeers Collectief;Lokaal;6562;Aalsmeer;Stembureau r.k.b.s. Antonius;0358::SB10
;260;Aalsmeerse Belangen;Lokaal;6562;Aalsmeer;Stembureau r.k.b.s. Antonius;0358::SB10
;294;CDA;CDA;6562;Aalsmeer;Stembureau r.k.b.s. Antonius;0358::SB10
;222;VVD;VVD;6562;Aalsmeer;Stembureau r.k.b.s. Antonius;0358::SB10
;151;PACT Aalsmeer;Lokaal;6562;Aalsmeer;Stembureau r.k.b.s. Antonius;0358::SB10
;22;;;6562;Aalsmeer;Stembureau r.k.b.s. Antonius;0358::SB10
;43;Het Aalsmeers Collectief;Lokaal;7215;Aalsmeer;Stembureau Clubgebouw VZOD;0358::SB11
;199;Aalsmeerse Belangen;Lokaal;7215;Aalsmeer;Stembureau Clubgebouw VZOD;0358::SB11
;259;CDA;CDA;7215;Aalsmeer;Stembureau Clubgebouw VZOD;0358::SB11
;215;VVD;VVD;7215;Aalsmeer;Stembureau Clubgebouw VZOD;0358::SB11
;136;PACT Aalsmeer;Lokaal;7215;Aalsmeer;Stembureau Clubgebouw VZOD;0358::SB11
;19;;;7215;Aalsmeer;Stembureau Clubgebouw VZOD;0358::SB11
;166;VVD;VVD;7868;Aalsmeer;Stembureau Gezondheidscentrum Aalsmeer Oost;0358::SB12
;40;Het Aalsmeers Collectief;Lokaal;7868;Aalsmeer;Stembureau Gezondheidscentrum Aalsmeer Oost;0358::SB12
;155;CDA;CDA;7868;Aalsmeer;Stembureau Gezondheidscentrum Aalsmeer Oost;0358::SB12
;151;Aalsmeerse Belangen;Lokaal;7868;Aalsmeer;Stembureau Gezondheidscentrum Aalsmeer Oost;0358::SB12
;19;;;7868;Aalsmeer;Stembureau Gezondheidscentrum Aalsmeer Oost;0358::SB12
;120;PACT Aalsmeer;Lokaal;7868;Aalsmeer;Stembureau Gezondheidscentrum Aalsmeer Oost;0358::SB12
;278;VVD;VVD;8521;Aalsmeer;Stembureau o.b.s. Zuidooster;0358::SB13
;29;Het Aalsmeers Collectief;Lokaal;8521;Aalsmeer;Stembureau o.b.s. Zuidooster;0358::SB13
;164;Aalsmeerse Belangen;Lokaal;8521;Aalsmeer;Stembureau o.b.s. Zuidooster;0358::SB13
;141;CDA;CDA;8521;Aalsmeer;Stembureau o.b.s. Zuidooster;0358::SB13
;142;PACT Aalsmeer;Lokaal;8521;Aalsmeer;Stembureau o.b.s. Zuidooster;0358::SB13
;24;;;8521;Aalsmeer;Stembureau o.b.s. Zuidooster;0358::SB13
